|ID           |HAS_VALIDATED|MODIFICATION_DATE      |
|1,210,818,697|0            |2025-02-07 00:20:11.900|
|1,210,817,788|0            |2025-02-07 00:20:11.795|
|1,210,816,911|0            |2025-02-07 00:20:11.087|
|1,210,821,277|0            |2025-02-07 00:20:11.005|
|1,210,816,854|0            |2025-02-07 00:20:10.986|
|1,210,820,409|0            |2025-02-07 00:20:10.910|
|1,210,819,406|0            |2025-02-07 00:20:10.805|
|1,210,819,405|0            |2025-02-07 00:20:10.787|
|1,210,818,336|0            |2025-02-07 00:20:10.679|
|1,210,823,227|0            |2025-02-07 00:20:10.517|
|1,210,822,628|0            |2025-02-07 00:20:10.403|
|1,210,821,899|0            |2025-02-07 00:20:10.292|
|1,210,821,240|0            |2025-02-07 00:20:10.184|
|1,210,820,507|0            |2025-02-07 00:20:10.060|
|1,210,819,713|0            |2025-02-07 00:20:09.903|
|1,210,822,555|0            |2025-02-07 00:20:09.826|
|1,210,818,946|0            |2025-02-07 00:20:09.796|
|1,210,822,526|0            |2025-02-07 00:20:09.731|
|1,210,822,509|0            |2025-02-07 00:20:09.634|
|1,210,817,284|0            |2025-02-07 00:20:08.673|
|1,210,815,974|0            |2025-02-07 00:20:08.532|
|1,210,817,474|0            |2025-02-07 00:20:06.768|
|1,210,816,878|0            |2025-02-07 00:20:05.626|
|1,210,823,911|0            |2025-02-07 00:20:05.581|
|1,210,822,415|0            |2025-02-07 00:20:05.477|
|1,210,817,460|0            |2025-02-07 00:20:04.615|
|1,210,823,061|0            |2025-02-07 00:20:04.520|
|1,210,821,932|0            |2025-02-07 00:20:04.395|
|1,210,821,135|0            |2025-02-07 00:20:04.356|
|1,210,820,767|0            |2025-02-07 00:20:04.274|
|1,210,819,775|0            |2025-02-07 00:20:04.262|
|1,210,819,514|0            |2025-02-07 00:20:04.163|
|1,210,818,616|0            |2025-02-07 00:20:04.151|
|1,210,817,294|0            |2025-02-07 00:20:04.031|
|1,210,816,021|0            |2025-02-07 00:20:03.890|
|1,210,816,413|0            |2025-02-07 00:20:03.483|
|1,210,823,039|0            |2025-02-07 00:20:03.448|
|1,210,819,558|0            |2025-02-07 00:20:03.378|
|1,210,816,550|0            |2025-02-07 00:20:02.805|
|1,210,816,497|0            |2025-02-07 00:20:02.710|
|1,210,824,219|0            |2025-02-07 00:20:01.773|
|1,210,824,035|0            |2025-02-07 00:20:01.241|
|1,210,823,284|0            |2025-02-07 00:20:01.142|
|1,210,817,434|0            |2025-02-07 00:20:00.455|
|1,210,817,424|0            |2025-02-07 00:20:00.341|
|1,210,817,415|0            |2025-02-07 00:20:00.232|
|1,210,824,037|0            |2025-02-07 00:19:59.644|
|1,210,823,955|0            |2025-02-07 00:19:59.542|
|1,210,821,740|0            |2025-02-07 00:19:59.008|
|1,210,820,904|0            |2025-02-07 00:19:58.881|
|1,210,820,016|0            |2025-02-07 00:19:58.777|
|1,210,824,350|0            |2025-02-07 00:19:57.943|
|1,210,824,302|0            |2025-02-07 00:19:57.826|
|1,210,819,253|0            |2025-02-07 00:19:57.259|
|1,210,818,307|0            |2025-02-07 00:19:57.149|
|1,210,818,445|0            |2025-02-07 00:19:56.632|
|1,210,817,393|0            |2025-02-07 00:19:56.068|
|1,210,824,182|0            |2025-02-07 00:19:55.661|
|1,210,824,104|0            |2025-02-07 00:19:55.547|
|1,210,822,233|0            |2025-02-07 00:19:55.247|
|1,210,822,182|0            |2025-02-07 00:19:55.149|
|1,210,816,541|0            |2025-02-07 00:19:54.991|
|1,210,821,424|0            |2025-02-07 00:19:54.871|
|1,210,824,314|0            |2025-02-07 00:19:54.762|
|1,210,816,683|0            |2025-02-07 00:19:54.497|
|1,210,815,780|0            |2025-02-07 00:19:54.367|
|1,210,817,375|0            |2025-02-07 00:19:53.934|
|1,210,817,368|0            |2025-02-07 00:19:53.830|
|1,210,823,611|0            |2025-02-07 00:19:53.362|
|1,210,823,525|0            |2025-02-07 00:19:53.252|
|1,210,816,157|0            |2025-02-07 00:19:52.504|
|1,210,816,094|0            |2025-02-07 00:19:52.403|
|1,210,818,043|0            |2025-02-07 00:19:52.236|
|1,210,823,905|0            |2025-02-07 00:19:51.371|
|1,210,823,847|0            |2025-02-07 00:19:51.243|
|1,210,823,368|0            |2025-02-07 00:19:51.114|
|1,210,822,107|0            |2025-02-07 00:19:50.999|
|1,210,821,345|0            |2025-02-07 00:19:50.597|
|1,210,820,404|0            |2025-02-07 00:19:50.498|
|1,210,819,483|0            |2025-02-07 00:19:50.385|
|1,210,818,455|0            |2025-02-07 00:19:50.278|
|1,210,823,465|0            |2025-02-07 00:19:50.089|
|1,210,822,581|0            |2025-02-07 00:19:49.977|
|1,210,817,342|0            |2025-02-07 00:19:49.658|
|1,210,823,201|0            |2025-02-07 00:19:48.988|
|1,210,823,144|0            |2025-02-07 00:19:48.880|
|1,210,822,001|0            |2025-02-07 00:19:48.874|
|1,210,823,098|0            |2025-02-07 00:19:48.745|
|1,210,823,020|0            |2025-02-07 00:19:48.627|
|1,210,823,498|0            |2025-02-07 00:19:48.250|
|1,210,819,087|0            |2025-02-07 00:19:48.143|
|1,210,820,860|0            |2025-02-07 00:19:47.837|
|1,210,820,019|0            |2025-02-07 00:19:47.729|
|1,210,817,323|0            |2025-02-07 00:19:47.537|
|1,210,817,312|0            |2025-02-07 00:19:47.433|
|1,210,817,304|0            |2025-02-07 00:19:47.336|
|1,210,823,589|0            |2025-02-07 00:19:47.066|
|1,210,823,514|0            |2025-02-07 00:19:46.929|
|1,210,822,863|0            |2025-02-07 00:19:46.485|
|1,210,822,774|0            |2025-02-07 00:19:46.017|
|1,210,821,798|0            |2025-02-07 00:19:45.905|
|1,210,817,288|0            |2025-02-07 00:19:45.206|
|1,210,823,338|0            |2025-02-07 00:19:44.800|
|1,210,822,727|0            |2025-02-07 00:19:44.349|
|1,210,822,672|0            |2025-02-07 00:19:44.237|
|1,210,822,600|0            |2025-02-07 00:19:44.140|
|1,210,822,429|0            |2025-02-07 00:19:44.099|
|1,210,822,525|0            |2025-02-07 00:19:44.038|
|1,210,823,885|0            |2025-02-07 00:19:43.756|
|1,210,817,266|0            |2025-02-07 00:19:43.062|
|1,210,822,565|0            |2025-02-07 00:19:41.587|
|1,210,821,843|0            |2025-02-07 00:19:41.457|
|1,210,821,147|0            |2025-02-07 00:19:41.334|
|1,210,820,410|0            |2025-02-07 00:19:41.177|
|1,210,819,645|0            |2025-02-07 00:19:41.064|
|1,210,817,254|0            |2025-02-07 00:19:40.910|
|1,210,823,105|0            |2025-02-07 00:19:40.645|
|1,210,823,016|0            |2025-02-07 00:19:40.547|
|1,210,819,298|0            |2025-02-07 00:19:39.923|
|1,210,822,309|0            |2025-02-07 00:19:39.883|
|1,210,818,229|0            |2025-02-07 00:19:39.807|
|1,210,815,921|0            |2025-02-07 00:19:39.488|
|1,210,821,373|0            |2025-02-07 00:19:39.379|
|1,210,823,797|0            |2025-02-07 00:19:39.278|
|1,210,822,984|0            |2025-02-07 00:19:39.176|
|1,210,821,967|0            |2025-02-07 00:19:39.067|
|1,210,821,196|0            |2025-02-07 00:19:38.940|
|1,210,818,123|0            |2025-02-07 00:19:38.934|
|1,210,822,919|0            |2025-02-07 00:19:38.419|
|1,210,822,848|0            |2025-02-07 00:19:38.295|
|1,210,822,776|0            |2025-02-07 00:19:38.194|
|1,210,822,697|0            |2025-02-07 00:19:38.071|
|1,210,822,661|0            |2025-02-07 00:19:37.980|
|1,210,815,881|0            |2025-02-07 00:19:37.654|
|1,210,823,472|0            |2025-02-07 00:19:37.550|
|1,210,819,495|0            |2025-02-07 00:19:36.797|
|1,210,817,226|0            |2025-02-07 00:19:36.749|
|1,210,817,214|0            |2025-02-07 00:19:36.646|
|1,210,822,055|0            |2025-02-07 00:19:35.705|
|1,210,818,468|0            |2025-02-07 00:19:34.794|
|1,210,817,611|0            |2025-02-07 00:19:34.703|
|1,210,817,437|0            |2025-02-07 00:19:34.653|
|1,210,821,738|0            |2025-02-07 00:19:34.604|
